language,task,tokens,lines,sloc,chars
C#,Loops-For,68,16,14,275
C#,Loops-N-plus-one-half,61,16,14,256
C#,Loops-Nested,203,26,18,854
C#,Loops-While,27,6,5,73
C#,Luhn-test-of-credit-card-numbers,228,28,24,875
C#,Map-range,112,13,10,338
C#,Middle-three-digits,84,14,12,334
C#,Monty-Hall-problem,273,37,27,1012
C#,Multiplication-tables,220,39,32,998
C#,Mutual-recursion,103,22,18,422
C#,N-queens-problem,299,39,31,1349
C#,Nth,189,33,28,775
C#,Nth-root,166,22,19,426
C#,Number-names,595,79,65,2271
C#,Number-reversal-game,517,87,70,1622
C#,Ordered-words,191,31,25,840
C#,Palindrome-detection,92,22,18,415
C#,Pangram-checker,282,41,38,1209
C#,Parsing-RPN-calculator-algorithm,499,101,91,3289
C#,Pascals-triangle,153,26,21,651
C#,Perfect-numbers,119,25,20,364
C#,Pi,806,72,60,2702
C#,Population-count,320,71,55,1598
C#,Power-set,187,24,21,502
C#,Primality-by-trial-division,56,8,7,201
C#,Priority-queue,300,61,52,1394
C#,Range-expansion,284,32,29,1121
C#,Range-extraction,390,59,55,1640
C#,Real-constants-and-functions,158,17,15,616
C#,Reverse-a-string,34,7,6,157
C#,Roman-numerals-Decode,463,63,44,2818
C#,Rot-13,179,29,23,669
C#,Run-length-encoding,357,37,32,1396
C#,Search-a-list,138,16,12,520
C#,Set,556,57,46,2028
C#,Short-circuit-evaluation,157,31,27,637
C#,Sierpinski-carpet,162,25,21,651
C#,Sierpinski-triangle,147,27,22,528
C#,Sieve-of-Eratosthenes,517,42,41,1662
C#,Sleep,60,14,12,285
C#,Sort-using-a-custom-comparator,239,41,30,1177
C#,Sorting-algorithms-Bubble-sort,340,45,37,1518
C#,Sorting-algorithms-Gnome-sort,139,28,25,749
C#,Sorting-algorithms-Insertion-sort,140,22,17,503
C#,Sorting-algorithms-Quicksort,149,24,21,722
C#,Sorting-algorithms-Selection-sort,124,21,18,472
C#,Stack,102,14,10,442
C#,String-concatenation,54,12,10,231
C#,String-matching,126,14,13,387
C#,Strip-whitespace-from-a-string-Top-and-tail,84,18,15,378
C#,Substring,212,27,20,956
C#,Substring-Top-and-tail,72,13,11,319
C#,Sum-and-product-of-an-array,46,4,3,139
C#,Sum-digits-of-an-integer,436,59,37,1936
C#,Sum-multiples-of-3-and-5,342,41,34,1431
C#,Symmetric-difference,155,29,25,701
C#,Take-notes-on-the-command-line,166,34,30,706
C#,Temperature-conversion,267,32,28,1157
C#,The-Twelve-Days-of-Christmas,288,44,32,1149
C#,Towers-of-Hanoi,91,10,9,267
C#,Vector-products,218,28,23,772
C++,100-doors,138,17,11,401
C++,100-prisoners,832,90,75,3177
C++,24-game,557,99,87,1855
C++,99-bottles-of-beer,161,29,25,608
C++,ABC-problem,379,35,31,1228
C++,Accumulator-factory,173,22,20,615
C++,Ackermann-function,438,55,48,1251
C++,Almost-prime,260,33,28,871
C++,Anagrams,256,36,30,941
C++,Anonymous-recursion,102,27,25,353
C++,Anti-primes,187,26,23,544
C++,Arbitrary-precision-integers-included-,237,24,17,883
C++,Arithmetic-Complex,142,20,12,417
C++,Arithmetic-Integer,104,13,11,267
C++,Arithmetic-geometric-mean,156,23,17,441
C++,Array-concatenation,136,15,11,300
C++,Arrays,335,45,27,1397
C++,Averages-Arithmetic-mean,59,11,9,230
C++,Averages-Mode,491,69,48,1870
C++,Averages-Pythagorean-means,281,26,23,976
C++,Babbage-problem,73,10,8,234
C++,Balanced-brackets,224,34,30,789
C++,Binary-search,26,2,1,107
C++,Bitwise-operations,367,24,14,1170
C++,Bulls-and-cows,551,79,72,2019
C++,CSV-data-manipulation,834,130,109,3049
C++,Caesar-cipher,372,46,42,1295
C++,Case-sensitivity-of-identifiers,62,10,7,226
C++,Catalan-numbers,281,61,50,1344
C++,Check-that-file-exists,164,23,20,619
C++,Classes,35,9,8,118
C++,Comma-quibbling,169,27,24,472
C++,Count-occurrences-of-a-substring,181,25,20,638
C++,Create-a-two-dimensional-array-at-runtime,155,27,15,451
C++,Create-an-HTML-table,642,69,66,1987
C++,Cumulative-standard-deviation,256,40,36,753
C++,Date-format,483,65,29,1860
C++,Day-of-the-week,130,19,17,587
C++,Department-numbers,230,20,18,645
C++,Detect-division-by-zero,98,24,17,382
C++,Determine-if-a-string-is-numeric,70,12,10,218
C++,Digital-root,328,31,23,1117
C++,Dot-product,519,48,39,1580
C++,Empty-string,312,39,19,1307
C++,Entropy,198,27,23,691
C++,Ethiopian-multiplication,311,55,47,1287
C++,Even-or-odd,82,18,15,290
C++,Factorial,103,20,15,307
C++,Factors-of-an-integer,254,35,29,923
C++,Fibonacci-sequence,95,17,14,353
C++,Filter,134,19,16,475
C++,Five-weekends,477,44,41,1652
C++,FizzBuzz,169,26,19,554
C++,Function-composition,69,12,9,215
C++,Gray-code,259,39,33,815
C++,Greatest-common-divisor,53,7,5,177
C++,Guess-the-number,127,23,20,451
C++,Guess-the-number-With-feedback,190,29,25,706
C++,Hailstone-sequence,455,51,39,1378
C++,Happy-numbers,220,37,32,749
C++,Harshad-or-Niven-series,243,35,31,771
C++,Haversine-formula,340,57,43,1158
C++,Horners-rule-for-polynomial-evaluation,127,22,17,386
C++,Identity-matrix,280,48,39,984
C++,Integer-comparison,142,24,15,425
C++,JSON,366,66,54,1299
